Size (bytes),Average RTT (ms),Min RTT (ms),Max RTT (ms)
102400,0.232,0.164,1.237
1048576,0.270,0.168,2.015
102400,0.236,0.164,1.285
1048576,0.228,0.135,1.390
102400,0.223,0.149,1.445
10240,0.230,0.153,1.612
10240,0.207,0.147,1.438
102400,0.215,0.153,1.263
1024,0.284,0.164,5.638
102400,0.269,0.179,1.671
10240,0.256,0.159,1.750
1024,0.558,0.197,24.089
1024,0.252,0.174,1.703
10240,0.398,0.181,5.383
1048576,0.246,0.167,1.374
1048576,0.214,0.147,1.203
1024,0.342,0.136,9.217
10240,0.239,0.163,1.472
1048576,0.241,0.164,1.716
